"(36.180507, -86.60111)"
""
""
"(33.149246, -87.52303)"
"(34.546274, -90.65869)"
"(33.528734, -90.17663)"
"(28.068865, -81.80267)"
"(37.745999, -84.28433)"
""
"(38.201649, -84.86935)"
"(31.852825, -85.92314)"
"(36.229928, -82.81406)"
"(36.970776, -85.91232)"
"(36.109404, -83.48325)"
"(33.588486, -85.1062)"
"(35.896645, -86.42425)"
"(33.711314, -85.78527)"
"(32.226713, -80.74325)"
"(35.658409, -88.40535)"
"(32.903432, -85.92669)"
"(37.81109, -85.46164)"
"(32.495484, -87.84521)"
"(37.716311, -83.51835)"
"(32.777662, -85.17623)"
"(35.192829, -86.14045)"
"(36.860612, -86.88171)"
"(31.32579, -85.84117)"
"(35.461359, -86.7792)"
"(36.617181, -83.72186)"
"(36.050286, -88.10137)"
"(34.278935, -80.59142)"
"(36.547133, -82.55408)"
"(35.815524, -84.29301)"
"(31.086483, -97.40076)"
"(38.564451, -90.1628)"
"(35.395362, -97.49701)"
"(41.702148, -93.04467)"
"(33.547578, -84.21809)"
"(42.02933, -93.60966)"
"(37.753347, -87.17419)"
"(42.470191, -91.89268)"
"(32.423083, -81.80677)"
"(41.411394, -92.91126)"
""
"(29.650492, -95.14632)"
"(35.797692, -78.625265)"
"(28.958803, -98.4639)"
"(35.097488, -101.98105)"
"(32.071641, -84.21942)"
"(37.777083, -86.48345)"
"(27.541676, -81.8127)"
"(33.568573, -86.72163)"
"(34.817537, -87.66253)"
"(42.127807, -80.06351)"
"(29.825908, -95.7301)"
"(30.216073, -82.6396)"
"(38.363151, -98.78495)"
"(28.350373, -80.6691)"
"(42.527184, -92.45609)"
"(30.492895, -92.41578)"
"(41.434796, -96.48869)"
"(40.948073, -90.36871)"
"(26.914393, -82.04106)"
"(28.015032, -81.95206)"
"(33.786041, -83.69901)"
"(30.566681, -98.30756)"
"(39.747736, -92.46878)"
"(34.010162, -85.25762)"
"(29.252882, -99.8165)"
"(33.346817, -86.95252)"
"(29.715302, -90.6097)"
"(40.974026, -91.57195)"
"(41.924127, -88.74617)"
"(31.688901, -88.65623)"
"(41.437838, -97.37192)"
"(32.767329, -96.60759)"
"(33.555145, -84.40108)"
"(40.225039, -100.63052)"
"(27.737965, -98.09302)"
"(41.202461, -90.73137)"
"(41.330789, -89.1299)"
"(31.447119, -85.62908)"
"(38.034292, -97.92382)"
"(40.830534, -91.17849)"
"(34.971029, -101.9212)"
"(28.797245, -81.88466)"
"(39.396463, -87.69589)"
"(30.762908, -89.87774)"
"(40.341716, -94.87498)"
"(37.067979, -100.92813)"
"(32.810275, -98.10707)"
"(38.502854, -90.46088)"
